Date,Open,High,Low,Shares Traded,Turnover (Rs. Cr),Close
03-Jan-00,1482.15,1592.9,1482.15,25358322,884.15,1592.2
04-Jan-00,1594.4,1641.95,1594.4,38787872,1973.69,1638.7
05-Jan-00,1634.55,1635.5,1555.05,62153431,3084.79,1595.8
06-Jan-00,1595.8,1639,1595.8,51272875,2531.18,1617.6
07-Jan-00,1616.6,1628.25,1597.2,54315945,1914.63,1613.3
10-Jan-00,1615.65,1662.1,1614.95,45013949,2375.35,1632.95
11-Jan-00,1633.25,1639.9,1548.25,49120254,2596.95,1572.5
12-Jan-00,1572.3,1631.55,1571.7,38364961,1895,1624.8
13-Jan-00,1627.85,1671.15,1613.65,44738447,2237.61,1621.4
14-Jan-00,1622.15,1627.4,1591.4,43292009,1979.98,1622.75
17-Jan-00,1623.5,1668.45,1604.65,42683260,2161.59,1611.6
18-Jan-00,1611.65,1615.15,1587.85,37564199,1787.35,1606.7
19-Jan-00,1610.05,1644.45,1608.85,42981295,2162.92,1634.85
20-Jan-00,1634.65,1644.4,1596.65,42625471,2016.77,1601.1
21-Jan-00,1601.25,1626.5,1593.2,39715905,2012.48,1620.6
24-Jan-00,1623.05,1645,1608.3,34726595,1905.45,1613.6
25-Jan-00,1612.95,1613.65,1579.55,36881758,1884.76,1586.4
27-Jan-00,1600.5,1633.55,1600.05,38102878,1956.9,1603.9
28-Jan-00,1603.65,1610.9,1592.7,46563431,2147.53,1599.1
31-Jan-00,1598.35,1598.35,1538.7,36153239,1501.04,1546.2
01-Feb-00,1546.2,1554.15,1521.4,37161352,1692.07,1549.5
02-Feb-00,1554.2,1605.9,1554.2,39358471,1760.18,1588
03-Feb-00,1591.25,1616.7,1591.25,40826374,1538.89,1597.9
04-Feb-00,1598.5,1621.35,1596.45,30459542,1694.66,1599.75
07-Feb-00,1599.8,1645.9,1599.8,34666978,2036.07,1636.6
08-Feb-00,1636.6,1676.1,1636.6,40722843,1975.29,1662.75
09-Feb-00,1666.95,1731.65,1666.7,41767017,2096,1689.65
10-Feb-00,1692.1,1713.7,1692.1,30110126,1664.86,1711.2
11-Feb-00,1712.85,1771.65,1712.85,33406798,1834.58,1756
14-Feb-00,1777.75,1795.45,1738.75,31621011,1728.72,1744.5
15-Feb-00,1744.5,1744.5,1694.45,39135619,2370.94,1702.55
16-Feb-00,1704.85,1742.8,1704.15,31314383,1811.4,1711.1
17-Feb-00,1710.05,1753.1,1710.05,28333952,1822.56,1742.1
18-Feb-00,1742.3,1764.15,1713.45,24491796,1473.39,1717.8
21-Feb-00,1719.55,1767.8,1719.55,26015488,1918.38,1753.5
22-Feb-00,1754.2,1781.05,1733.55,33425078,2416.67,1739.05
23-Feb-00,1745.2,1818.15,1689.2,27905642,2389.28,1696.4
24-Feb-00,1696.4,1751.6,1693.1,23492408,1915.24,1732
25-Feb-00,1734.05,1757.05,1699.25,19458640,1235.84,1710.45
28-Feb-00,1711.15,1726.65,1670.75,27266318,1486.21,1722.55
29-Feb-00,1722.85,1783.3,1626.35,49498835,3207,1654.8
01-Mar-00,1661.5,1727.9,1630,37586272,1722.99,1712.7
02-Mar-00,1713.65,1773.85,1690.05,42276125,1458.68,1696.55
03-Mar-00,1696.45,1719.15,1644.4,29500370,1748.95,1656
06-Mar-00,1656,1721,1656,32426509,1503.59,1688.5
07-Mar-00,1711.85,1730.85,1684.9,36861204,1955.02,1702.75
08-Mar-00,1717.75,1765.25,1654.45,30249973,2436.16,1666.35
09-Mar-00,1667.45,1692.25,1595.45,27734646,2343.6,1646.25
10-Mar-00,1647.85,1680.45,1588.2,23714154,1846.44,1602.75
13-Mar-00,1601.4,1645,1553.45,32025029,2339.72,1560.7
14-Mar-00,1561.55,1571.3,1503.2,37965722,2101.66,1567.05
15-Mar-00,1546.8,1630.95,1538.7,28895834,1975.52,1620.1
16-Mar-00,1620.4,1621.2,1554.3,33981961,1873.92,1562.2
21-Mar-00,1563.3,1585.25,1542.65,30768798,2021.33,1556.6
22-Mar-00,1551.05,1604,1551.05,26938367,1582.53,1589.6
23-Mar-00,1590.3,1629.2,1544.5,21308741,1645.35,1553.4
24-Mar-00,1554.2,1579.4,1540.45,15407574,1352.2,1569.55
27-Mar-00,1570.45,1593.3,1555.75,19049762,1218.6,1562.95
28-Mar-00,1563.3,1575.85,1527.55,28174402,1838.22,1568.6
29-Mar-00,1569.3,1609.4,1553.4,32288722,1468.66,1558.25
30-Mar-00,1556.95,1557.85,1489.1,38871150,1562.26,1549.5
31-Mar-00,1545.55,1545.55,1493.9,49680971,1757.77,1528.45
03-Apr-00,1528.7,1555.5,1510.75,50909584,1638.46,1534.75
04-Apr-00,1534.05,1534.05,1420.85,42180348,1071.07,1428.1
05-Apr-00,1428.5,1467.4,1391.65,49400946,1880.26,1434.65
06-Apr-00,1436.15,1475.25,1381.05,40869843,1850.96,1452.95
07-Apr-00,1453.3,1558.05,1453.3,49468064,1272.2,1557.15
10-Apr-00,1557.55,1636.95,1557.55,67959549,1932.64,1613
11-Apr-00,1613,1631.6,1550.85,34966347,2042.24,1624.65
12-Apr-00,1624.4,1628.55,1586,35323588,2074.92,1592.7
13-Apr-00,1587.95,1587.95,1502.7,20985552,1207.87,1518.65
17-Apr-00,1518.55,1518.55,1412.45,47786700,1109.7,1443.55
18-Apr-00,1443.55,1478.85,1410,30055064,1311.69,1414.8
19-Apr-00,1417.75,1469.05,1375.05,38873392,1939.59,1404.95
20-Apr-00,1405.7,1425.55,1339.75,43869587,2294.24,1415.65
24-Apr-00,1416.05,1431.8,1371.85,34272187,1720.02,1388
25-Apr-00,1383.8,1383.8,1311.3,40507493,1380.95,1359.45
26-Apr-00,1362.5,1439.05,1362.5,45032350,1395.49,1436.1
27-Apr-00,1436.15,1455.85,1400.65,51773632,2558.15,1416.9
28-Apr-00,1419.9,1438,1396.55,27456437,1442.25,1406.55
02-May-00,1410,1421.5,1319.65,39377730,1889.61,1333.45
03-May-00,1330.15,1342.15,1258.1,34709688,1815.26,1316.05
04-May-00,1317.95,1385.15,1317.95,29963970,1527.37,1380.55
05-May-00,1381.9,1428.6,1381.9,35555435,1883.38,1422.4
08-May-00,1423.25,1436.6,1358.8,23965671,2058.9,1365.05
09-May-00,1362.45,1385.7,1328.05,24898689,1523.07,1378.55
10-May-00,1380.4,1391.35,1359.65,22179474,1577.07,1363.15
11-May-00,1359.1,1359.1,1295.95,23828870,1553.33,1304.55
12-May-00,1305.3,1326.3,1276.4,23382546,1576.03,1282.8
15-May-00,1281.3,1311.7,1220.7,21763805,1747.61,1299.25
16-May-00,1300.2,1310.45,1287.8,17410579,1238.38,1306.85
17-May-00,1310.8,1347.7,1303.75,25382671,1662.6,1311.65
18-May-00,1311.3,1316.2,1289.55,23235814,1201.14,1293.4
19-May-00,1293.45,1293.45,1252.7,27403349,1507.05,1268
22-May-00,1267.85,1267.85,1228.4,18684174,1051.53,1233
23-May-00,1229.25,1230.9,1203.2,21794331,1240.47,1224.4
24-May-00,1224.5,1246.25,1201.5,30854002,1573.85,1235.9
25-May-00,1237,1269.8,1235.7,35464246,1835.71,1247.65
26-May-00,1247.1,1278.75,1232.85,33048311,1691.57,1275.35
29-May-00,1273.7,1317.75,1267.4,47527900,2324.35,1311.05
30-May-00,1310.8,1347.3,1304.95,35581006,1885.23,1344.85
31-May-00,1355.35,1410.75,1355.35,46440897,1883.79,1380.45
01-Jun-00,1380.4,1380.4,1345.1,29618849,1837.2,1349
02-Jun-00,1350.15,1395.35,1350.15,40135483,2355.95,1389.25
05-Jun-00,1390.95,1461.05,1390.95,46679969,2610.47,1404.6
06-Jun-00,1405.45,1426.15,1392.7,28124165,1919.16,1421.75
07-Jun-00,1423.4,1442.7,1413.8,32121331,2513.05,1430.35
08-Jun-00,1430.5,1468.7,1430.5,39568681,2210.67,1463.65
09-Jun-00,1464.3,1485.5,1458.9,55393741,2813.85,1467.2
12-Jun-00,1464.4,1477.55,1437.15,28468653,1536.29,1440.4
13-Jun-00,1438.8,1438.8,1411.9,37250861,1929.73,1432.9
14-Jun-00,1434.95,1459.15,1423.95,37371054,2058.68,1435.5
15-Jun-00,1437,1452.8,1422.4,30332490,2161.96,1445.25
16-Jun-00,1443.15,1480.85,1441.6,39625952,2365.22,1477.3
19-Jun-00,1477.55,1510.45,1477.55,37008819,2603.38,1498.75
20-Jun-00,1498,1518.05,1497.05,32047330,2164.97,1507.1
21-Jun-00,1524.05,1539.1,1470.4,30544515,2174.65,1475.15
22-Jun-00,1475.65,1491.4,1461.3,42444916,2293.65,1488.25
23-Jun-00,1487.85,1499.85,1462.75,62807049,2895.19,1472.2
26-Jun-00,1472.15,1472.15,1431.25,28885013,1640.31,1451.65
27-Jun-00,1452.8,1467.15,1448.95,41444271,2187.36,1454.3
28-Jun-00,1453.7,1474.7,1445.6,25720842,1540.08,1470
29-Jun-00,1471.35,1505.75,1471.35,41360755,2256.54,1492.35
30-Jun-00,1490.2,1490.65,1462.45,39155406,2011.95,1471.45
03-Jul-00,1473.45,1498.7,1473.45,39577037,2570.28,1495.25
04-Jul-00,1496.15,1516.8,1494.8,37921171,2262.39,1511.3
05-Jul-00,1511.5,1530.9,1511.5,51276438,2510.18,1526.05
06-Jul-00,1525.15,1525.15,1504.05,41999154,2020.33,1516.8
07-Jul-00,1517,1528.15,1513.4,40341969,1801.54,1517.6
10-Jul-00,1518.15,1523.2,1502.7,40338082,1774.42,1509.65
11-Jul-00,1510.55,1523.1,1506.15,47327973,2423.52,1518.55
12-Jul-00,1518.7,1537.1,1507.95,41648670,2379.45,1533.35
13-Jul-00,1535.55,1564.75,1513.65,47987006,2969.5,1522.6
14-Jul-00,1522.2,1534.35,1505.9,50970729,3559.29,1509.75
17-Jul-00,1509.25,1512.25,1475.15,39534845,2262.55,1479.65
18-Jul-00,1479.3,1482.9,1458.6,39629219,2404.76,1463.1
19-Jul-00,1464.55,1468.55,1432.85,38459509,2307.28,1435.8
20-Jul-00,1434.95,1443.25,1416,44962303,2135.42,1424.2
21-Jul-00,1424.9,1435.2,1394.3,47900266,2505.76,1397.25
24-Jul-00,1397.05,1397.05,1310.85,41605572,2259.71,1317.75
25-Jul-00,1317.35,1363.45,1269.25,52145532,2981.2,1348.9
26-Jul-00,1350.8,1371.8,1315.15,35752137,2078.39,1318.25
27-Jul-00,1317,1342.75,1291.3,41436644,2588.56,1338.05
28-Jul-00,1337.7,1359.4,1327.95,44541451,2647.66,1333.8
31-Jul-00,1333.3,1343.65,1317.3,28942787,1710.44,1332.85
01-Aug-00,1332.85,1344.5,1322.6,32539550,1646.5,1326.85
02-Aug-00,1323.7,1333.85,1312.25,30378509,1517.09,1331.9
